,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
FRONTEND,FRT-9.05,B,C,B,Implémenter des solutions techniques dont l'impact est le plus faible,"La mise en forme en css est-elle privilégiée, pour limiter l'usage des images ?","Parmi les éléments de présentation utilisés dans les services, les images représentent un volume important, ce qui génère un impact environnemental. Dans certains cas des opérations de mise en forme avec du CSS permettent de se dispenser d'une image, cette solution plus légère est à privilégier.",Réalisation,Quelles images peuvent être remplacées par du CSS ?,,,Critère RGAA 10.1,,RECO,**,,,#VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Images analysées,Images,High,OnUpdate,Navigation / CHROME network,,,,,,
FRONTEND,FRT-9.C04,A,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,"Est-ce que le lazy load apporte un gain (poids de la page, ressource CPU) ?","Lors du chargement du service sur le périphérique utilisateur, toutes les informations n'ont pas la même importance. Le chargement différé de certains éléments est souvent tout à fait acceptable, sans vraiment réduire le volume de chargement cela sollicite moins de ressources techniques en même temps sur les serveurs ce qui réduit le besoin de dimensionnement de ces serveurs.",Réalisation,Les gains ont-ils été mesurés avec l'utilisation de lazy load ?,,,GreenIT 37,,CONSEIL,N/A,,,,,,,,,,,,,Y,#SCRIPT,*,Outils parser code
FRONTEND,FRT-9.C05,B,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,Est-ce que la définition du son est adaptée ?,"Les sons diffusés par le service, sont caractérisés par leurs durées, le nombre de répétitions, la qualité du son et enfin le type d'encodage (Codec) utilisé. Les actions sur chacun de ces points vont réduire l'impact des fichiers sons autant dans le transfert, que le volume des fichiers. Certains Codec très compressés réduisent de manière significative le volume de données pour une même qualité, mais le codage / décodage de ces formats peut nécessiter beaucoup de ressources de traitements, ce qui atténue fortement le bénéfice global du point de vue NR.",Réalisation,La qualité de son attendue est-elle spécifiée ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
FRONTEND,FRT-9.06,A,A,B,Implémenter des solutions techniques dont l'impact est le plus faible,Une version épurée est-elle disponible pour les impressions ?,"Les flux de dématérialisation sont parfois rompus, et imposent la production d'écrits sur papiers. L'utilisateur dans certains cas peut aussi être plus confortable à utiliser des documents imprimés plutôt que 100% électroniques. Les impressions ont un impact environnemental important, que ce soit dans la consommation de papier, de consommables tels que les cartouches et encres d'impression. Les besoins de présentation en électronique ou en impression sont différents, d'autre part la limitation de l'empreinte environnementale doit conduire à réduire la densité et le volume d'informations imprimées.",Utilisation,Le format d'impression est-il spécifié pour réduire l'espace et l'encre utilisé ?,,,Opquast 30/GreenIT 27 / Pidila 346 - 347,,RECO,*,,INCONTOURNABLE,#VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Les tests de navigation / parcours utilisateur couvrent les impressions et l'analyse des documents imprimés,,,Y,#SCRIPT,**,Outils parser code
FRONTEND,FRT-9.07,B,A,B,Implémenter des solutions techniques dont l'impact est le plus faible,"Est-ce bien une action utilisateur qui déclenche le ""play"" ?",Les contenus actifs utilisent des ressources techniques pour fonctionner. L'activité de ces composants doit être lancée à la demande de l'utilisateur pour éviter de consommer de l'énergie inutilement.,Utilisation,Est-ce que toutes les animations sont en auto start OFF ?,Evite-t-on de pré-charger les animations / vidéo?,,,,RECO,*,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Actions sans auto start,Actions user,High,OnUpdate,Navigation,,,Y,#SCRIPT,**,Outils parser code
FRONTEND,FRT-9.08,A,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,Les vidéos ou animations hors de la zone active sont-elles automatiquement mises en pause / stoppées ?,"Les contenus actifs, animations, vidéos, sons lancés par l'utilisateur peuvent au cours de la navigation ne plus être visibles sur la zone écran présentée à l'utilisateur. La poursuite de la diffusion de ces contenus devient inutiles et consomment inutilement des ressources, ils doivent donc être arrêtés.",Utilisation,Les vidéos et animation en cours sont-elles stoppées lorsqu'elles sortent de l'espace vu par l'utilisateur ?,,,,,RECO,**,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Vidéos analysées,Vidéos,High,OnUpdate,"Les tests de navigation / parcours utilisateur couvrent les comportements des objets dynamiques (vidéo, animations, ...) hors de la zone de visualisation",,,,,,
FRONTEND,FRT-9.C06,A,B,A,Implémenter des solutions techniques dont l'impact est le plus faible,Une vidéo est-elle la seule solution pour l'illustration attendue ?,"Les flux vidéo sont dans les usages de service numérique l'un des éléments qui consomment le plus de ressources de traitement, de volume d'échange. Les vidéos doivent être limitées aux cas où elles apportent une valeur importante. La vidéo n'est pas accessible pour certains publics et doit donc être limitée.",Conception,Quel est le volume total des vidéos du service ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
FRONTEND,FRT-9.C07,B,C,B,Implémenter des solutions techniques dont l'impact est le plus faible,Réduisez-vous le nombre de picto utilisés dans le service ?,"Tous les éléments de présentation ont un poids supérieur au caractères de l'alphabet. Chaque fois qu'un pictogramme est utilisé alors que l'information qu'il véhicule pourrait être présentée différemment le service augmente son volume. De plus, les assistants d'accessibilité ne permettent pas toujours de restituer ces pictogrammes dans de bonnes conditions.",Réalisation,Est-ce que les picto attendus sont disponibles dans une font ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,Y,#SCRIPT,**,Outils parser code
FRONTEND,FRT-9.09,B,C,B,Implémenter des solutions techniques dont l'impact est le plus faible,"Limitez-vous le nombre de fonts chargées pour le service ?
Privilégiez-vous les fonts web-safe ?","Chaque police est encodée dans un fichier présentant tous les symboles associés ce qui représente un volume de données important échangé et manipulé. 
Les polices systèmes sont embarquées dans les outils de présentation et ne sont pas véhiculées, les flux sont donc réduits lorsqu'elles sont utilisées.",Réalisation,Combien de Font sont utilisées ? L'ensemble de ces Font sont-elles nécessaires ? sont-elles web-safe ?,,,,,RECO,*,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,,,,High,OnUpdate,Code source / CHROME console,,,Y,#SCRIPT,*,Outils parser code
FRONTEND,FRT-9.10,A,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,"En cas d'impression, une police permettant l'économie d'encre est-elle mise en place ?","Les flux de dématérialisation sont parfois rompus, et imposent la production d'écrits sur papier. L'utilisateur dans certains cas peut aussi être plus confortable à utiliser des documents imprimés plutôt que 100% électroniques. Les impressions ont un impact environnemental important, que ce soit dans la consommation de papier, de consommables tels que les cartouches et encres d'impression. Les besoins de présentation en électronique ou en impression sont différents. D'autre part la limitation de l'empreinte environnementale doit conduire à réduire la densité et le volume d'information imprimé.",Réalisation,Quelle police est prise en charge pour l'impression ?,,,Pidila 346,,RECO,**,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,"Des tests d'impression sont réalisés pour vérifier les consommations d'encre, papiers et la pertinence des informations imprimées.",,,Y,#SCRIPT,*,Outils parser code
FRONTEND,FRT-9.11,B,C,B,Implémenter des solutions techniques dont l'impact est le plus faible,Est-ce que les polices utilisées ne sont pas chargées uniquement pour un nombre réduit d'objets ?,"Chaque police est encodée dans un fichier présentant tous les symboles associés ce qui représente un volume de données important échangé et manipulé. Lorsque seuls quelques éléments de la police sont utilisés, le rapport entre le volume total et le volume réellement utile devient mauvais et un impact environnemental est généré pour aucun bénéfice.",Réalisation,Avez-vous créé des fonts personnalisées pour ne charger que les objets utilisés ?,,,,,RECO,**,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Polices analysées,Polices,Low,OnUpdate,Code source / CHROME console,,,Y,#SCRIPT,**,Outils parser code
FRONTEND,FRT-9.12,B,A,B,Implémenter des solutions techniques dont l'impact est le plus faible,Le service est-il développé en accord avec les recommandations RGAA ?,"Au-delà des aspects purement réglementaires, l'anticipation de la prise en compte de l'accessibilité est nécessaire pour assurer une couverture de ce sujet durant toute la durée de vie du service. Anticiper les futurs points de règlements et normes permet de pérenniser le service en limitant les besoins de mises à jour dictées par l'environnement légal.",Conception,Quel est le niveau de conformité RGAA ?,Les valeurs de contraste sont-elles en accord avec les recommandations RGAA ?,,Critères RGAA 3.2 & 3.3,,RECO,*,,,#USE ; #COM ; #VALUE ; #LEG,Dev ; ProjectMngr ; ProductOwner ;,,,,High,OnUpdate,Déclaration d'accessibilité,,,,,,
FRONTEND,FRT-9.13,A,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,"Les animations sont-elles nécessaires, souhaitées par l'utilisateur ?","Le traitement des animations consomme des ressources techniques et détourne l'attention des utilisateurs, de plus les animations sont généralement dépendantes de caractéristiques techniques des terminaux et génèrent des incompatibilités qui poussent artificiellement au renouvellement des équipements.",Conception,Quelles animations pourraient être remplacées par une infographie ?,,,Opquast 47 / GreenIT 55,,RECO,*,,,#PERF ; #VOL ; #USE ; #VALUE; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Animations analysées,Animations,High,OnUpdate,Les parcours utilisateur présentent les objets média et la valeur ajoutée des informations proposées par ces objets,,,,,,
FRONTEND,FRT-9.14,B,B,B,Implémenter des solutions techniques dont l'impact est le plus faible,Une alternative CSS est-elle disponible pour une animation ?,L'information transmise à l'utilisateur par les animations peut aussi être gérée par des mécanismes CSS qui sont moins lourds donc plus économes de ressources.,Réalisation,Quelles animations pourraient être remplacées par une alternative CSS ?,,,,,RECO,**,,,#PERF ; #VOL ; #USE ;  #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Animations analysées,Animations,High,OnUpdate,Code source / CHROME console,,,,,,
FRONTEND,FRT-10,,,,Rechercher la mise en oeuvre de comportements sobres,,,,,,,,,,,ODD#12 ; ODD#13,,,,,,,,,,,,,,,
FRONTEND,FRT-10.01,A,B,A,Rechercher la mise en oeuvre de comportements sobres,"Les objets de cartographie, animations, vidéos sont-ils présentés dans un mode statique ?","Les objets de cartographie n'ont pas toujours une pertinence à être présentés sous forme d'objets dynamiques et interactifs. La version statique sous forme d'image des plans peut apporter à l'utilisateur suffisamment d'information sans qu'il n'ait besoin d'interagir avec l'objet. Les objets de cartographie sont complexes et nécessitent des ressources de traitements et l'utilisation de capteurs, ce que les versions images des plans évite. L'utilisateur conserve la possibilité d'interaction en activant la version dynamique mais uniquement à sa demande.",Réalisation,"Une image statique est-elle affichée plutôt qu'un objet de cartographie, animation, vidéo ?","Les éléments de cartographie, animation, vidéo sont-ils proposés sous forme d'image et ouverts uniquement sur demande de l'utilisateur ?",,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #USE ; #VALUE; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Objets analysés,Objets dynamiques,High,OnUpdate,L'analyse des codes sources et les tests de navigation couvrent la recherche des éléments dynamiques.,,,,,,
FRONTEND,FRT-10.C01,B,B,B,Rechercher la mise en oeuvre de comportements sobres,Le suivi de positionnement peut-il se satisfaire d'une fréquence plus réduite ?,"Les opérations techniques réalisées sur le front end peuvent mettre en oeuvre des capteurs physiques du périphérique utilisateur. La sollicitation de ces capteurs, et leurs les processus de contrôle peut entraîner une usure prématurée et en cas de panne pousser au renouvellement du périphérique. Certaines techniques logicielle permettent de réduire l'utilisation des capteurs physiques, ou de s'assurer qu'ils sont employés avec le minimum de contraintes.",Utilisation,La précision de localisation est-elle spécifiée avec une tolérance d'incertitude ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
FRONTEND,FRT-10.C02,B,B,B,Rechercher la mise en oeuvre de comportements sobres,Les recherches inutiles sont-elles limitées par les moteurs de recherche locaux ?,L'utilisation de moteurs de recherches locaux dans le service permettent aux utilisateurs d'accéder plus rapidement aux informations dont ils ont besoin sans parcourir l'intégralité du service. Ces moteurs de recherche sont donc efficaces d'un point de vue efficacité environnementale et assistance à l'utilisateur. En revanche les moteurs de recherche locaux ne disposent pas de toutes les informations pour proposer des réponses adaptées aux utilisateurs et s'appuient sur des ressources distantes. Il est important de réduire les échanges avec ces ressources distantes afin de ne pas annuler le bénéfice acquis par l'utilisation du moteur de recherche.,Utilisation,A partir de combien de lettres les données sont-elles transmises aux moteurs de recherche ou d'auto-complétion ?, Les recherches les plus fréquentes sont-elles mises en cache ?,,Opquast 4 / GreenIT 4,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1,,,,Réduire l'impact des données de leur stockage et accès,,,,,,,,,,,ODD#12 ; ODD#13,,,,,,,,,,,,,,,
BACKEND,BCK-1.01,A,C,A,Réduire l'impact des données de leur stockage et accès,"Est-ce que le nombre de requêtes est minimisé (proscrire l'usage de boucle) ?
","Chaque échange va consommer des ressources sur l'émetteur et le destinataire, consommer des flux d'échange et des données. Il est nécessaire de réduire ces échanges",Réalisation,Combien de requêtes sont utilisées pour un parcours utilisateur ?,,,Opquast 71/GreenIT 72,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ; #SEC ; #USE ; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,L'analyse des codes sources couvrent les éléments de performance.,,,Y,#SCRIPT,**,Outils parser code
BACKEND,BCK-1.C01,B,B,B,Réduire l'impact des données de leur stockage et accès,Est-ce qu'une alternative aux requêtes SQL est utilisée quand c'est possible (local storage ou assimilé)?,Les moteurs de gestion de bases de données procurent des solutions techniques performantes mais au détriment de mécanismes techniques complexes et donc consommateurs de ressources. Parfois des solutions plus simples apportent un résultat similaire avec une déperdition moindre.,Réalisation,Quelles données sont candidates à un stockage local ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1.02,B,C,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que les requêtes implémentées utilisent les jointures plutôt que de multiplier les requêtes ? 
",Les mécanismes d'accès aux données peuvent engendrer des temps de traitement importants et donc une utilisation importante de ressources. Le plus souvent ces charges sont associées à une session utilisateur et donc se multiplient avec l'augmentation du trafic sur le service. Les moteurs de SGBD proposent plusieurs mécanismes d'analyse efficaces vis-à-vis de l'organisation des données et du besoin. Réduire la charge d'accès aux données pour une session utilisateur est utile d'un point de vue environnemental et efficace pour les performances techniques du service.,Réalisation,La performance des jointures est-elle optimisée ?,,,,,RECO,**,,,#PERF ; #VOL ; #USE ; #MAINT ; #METH,Dev ; ProjectMngr ;  ITMngr,,,,High,OnUpdate,Code source - SGBD,,,,,,
BACKEND,BCK-1.C02,A,C,B,Réduire l'impact des données de leur stockage et accès,Est-ce que les données peuvent être sauvegardées de manière incrémentale ?,"Une donnée est présente dans plusieurs environnements différents, notamment sur chaque sauvegarde. Cela va consommer de l'espace, des flux de transfert si les sauvegardes sont externalisées. La présence d'une donnée non modifiée sur tous les jeux de sauvegardes n'apporte que très peu de valeur par rapport au coût que cela représente. Les solutions incrémentales de sauvegardes doivent être mises en oeuvre pour réduire l'impact de cette sécurisation indispensable.",Déploiement,Quel est le volume cumulé sur un mois des sauvegardes ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,Y,#PROCESS,**,Outils supervision
BACKEND,BCK-1.03,A,C,A,Réduire l'impact des données de leur stockage et accès,Est-ce que la suppression des données obsolètes est gérée ?,"La réglementation impose de maîtriser le cycle de vie des données pour certaines catégories (données personnelles encadrées par le RGPD). Les autres catégories de données ne sont pas prises en compte, ce qui conduit à accumuler les données sans prendre en compte les délais de péremptions, ce qui introduit un accroissement permanent de la volumétrie de données, des volumes de sauvegardes, de ressources consommées par les accès aux données. Au fil du temps, le niveau de précision des données perd de son importance ce qui doit conduire à réduire la volumétrie dans la phase précédant le retrait pur et simple.",Fin de Vie,Les durées de vie des données sont-elles gérées ?,,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Periodic,L'analyse d'impact détermne les actions de réduction des impacts avec les acteurs concernés,,,Y,#PROCESS,**,Outils Configuration Management
BACKEND,BCK-1.04,A,C,A,Réduire l'impact des données de leur stockage et accès,Est-ce que les index des bases de données sont cohérents par rapport aux opérations ?,L'organisation des données a un impact fort sur la performance de recherche dans un SGBD. Les règles de structuration des collections de données permettent d'optimiser ces points. Les moteurs de SGBD disposent aussi d'indicateurs de performance qui facilitent les démarches d'optimisation. Moins de temps et de traitement d'accès aux données engendre moins de consommations d'énergies et un besoin plus faible de surdimensionnement des serveurs qui hébergent ces moteurs.,Administration,Les performances des index sont-elles revues périodiquement ?,,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Periodic,L'administration des SGBD permet de suivre les performances des index et les besoins de restructuration des bases de données,,,Y,#PROCESS,**,Outils supervision
BACKEND,BCK-1.C03,B,C,B,Réduire l'impact des données de leur stockage et accès,Une alternative au modèle relationnel est-elle envisagée ?,"Les modèles relationnels des SGBD offrent des solutions efficaces pour gérer des structures de données très segmentées, mais en contrepartie ces moteurs de SGBD sont plus consommateurs de ressources techniques. Des modèles alternatifs peuvent être plus efficaces (NoSQL) pour certaines catégories d'usage.  ",Déploiement,"Est-ce qu'une solution NoSql est mise en place ?
",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1.C04,B,C,B,Réduire l'impact des données de leur stockage et accès,Est-ce qu'une solution NoSql est plus efficiente que son équivalent relationnel ?,La prédiction de gain de performance entre un modèle relationnel et NoSql est difficile et très dépendante de l'organisation et de l'usage des collections de données. Seule une étude comparative sur un échantillon pourra permettre d'établir les gains et bénéfices de chaque alternative.,Déploiement,Quel serait le gain d'une solution NoSql ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1.C05,B,C,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que les différentes solutions d'accès aux données (requêtes, triggers, procédures stockées) ont été testées ?","Les différentes méthodes d'accès aux données fournies par les moteurs SGBD peuvent produire des consommations de ressources différentes pour un résultat similaire. Parmi ces solutions, les requêtes, les procédures stockées, les triggers doivent être évalués pour déterminer pour chaque usage le meilleur candidat, qui réduira la consommation de ressources.",Réalisation,"Les performances des différentes solutions triggers, procédures stockées, requêtes sont-elles disponibles ?",,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1.C06,A,C,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que les clauses EXPLAIN sont utilisées sur les requêtes issues des ""Slow query"" pour optimiser les index ?
","La plupart des moteurs de SGBD disposent en standard d'un mode de supervision permettant d'identifier les actions les plus consommatrices de ressources. Les méthodes d'investigations des traitements identifiés comme ""lourds"" sont aussi fournies par les moteurs afin de donner les axes d'amélioration possibles pour réduire les délais et charges des opérations.",Réalisation,Est-ce que les critères permettant d'identifier une slow query sont clairement définis?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-1.C07,B,C,B,Réduire l'impact des données de leur stockage et accès,Les seuils de détection de slow query sont-ils définis de manière efficace ?,"Même si la structure des données n'évolue pas, les volumétries vont changer entre la conception et l'usage du service. Cette volumétrie peut entraîner des phénomènes de charge ou de contentions de ressources qui n'étaient pas apparents auparavant. Le suivi de l'évolution des traitements les plus consommateurs est indispensable durant toute la vie du service.",Administration,Les seuils des slow query sont-ils revus périodiquement ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,Y,#PROCESS,**,Outils supervision
BACKEND,BCK-1.05,B,C,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que les données ""vivantes"" et ""mortes"" sont gérées de manière différentes (ex: Stockage lent pour les données ""mortes"") ?",Les données d'historiques doivent être conservées pour des raisons légales ou de fonctionnalités du service. Les taux d'utilisation des données inactives ne justifient pas l'usage de mécanismes de haute performance pour leur stockage. Les mécanismes de stockage les plus performants sont aussi souvent ceux qui sont les plus consommateurs d'énergie ou qui ont un cycle de renouvellement physique plus court.,Fin de Vie,Quelle volumétrie de données inactives est conservée ?,,,,,RECO,***,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,Periodic,Analyse d'impact,,,,,,
BACKEND,BCK-1.06,B,C,B,Réduire l'impact des données de leur stockage et accès,Est-ce que les données souvent accédées sont disponibles en RAM ?,"La consommation de ressources de traitement est plus importante lorsque les informations doivent être collectées sur des supports physiques (disques, réseaux) plutôt qu'en mémoire RAM. Les données les plus fréquemment accédées doivent bénéficier de cette solution pour réduire l'énergie d'accès, la performance sera aussi plus élevée. ",Administration,Quel taux d'accès physique aux données est mesuré ?,,,Pidila 436/GreenIT 64/ Opquast 62,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ;,Dev ; ProjectMngr ; ITMngr ;,,,,Medium,Periodic,Dossier technique,,,,,,
BACKEND,BCK-1.07,A,C,B,Réduire l'impact des données de leur stockage et accès,Est-ce que les réplications de données entre plusieurs instances de moteur de base de données (Cluster) sont adaptées à la sensibilité et au besoin de disponibilité ?,"Une même donnée peut être dupliquée pour assurer les besoins de disponibilité et de sécurisation. La redondance est efficace pour sécuriser les données, mais toutes les données ne justifient pas cette précaution qui augmente les volumes de stockage et génèrent des traitements de synchronisation. Seules les données sensibles doivent être sécurisées avec des mécanismes de redondance les plus efficaces. La mise en cluster de moteurs de SGBD permet de gérer la défaillance d'un moteur. Si en plus chaque moteur utilisent des stockages redondants (Mirroring, RAID 5, ...) la même donnée à une empreinte qui peut être multipliée par 6 (le plus souvent un cluster contient 3 instances pour gérer les quorums en cas de défaillance d'un noeud).",Déploiement,Les données dupliquées sont-elles tracées et en rapport avec leur sensibilité ?,,,,,RECO,***,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ; #FIN,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Le dossier technique détermine les sensibilités des données et le mode de redondance à appliquer pour assurer la disponibilité requise,,,,,,
BACKEND,BCK-1.08,B,C,B,Réduire l'impact des données de leur stockage et accès,Les données ont-elles une date d'expiration à laquelle elles sont supprimées ?,Les spécifications font apparaître des collections de données des procédures asynchrones ou des tâches périodiques indispensables au bon fonctionnement du service. Ces éléments sont le plus souvent invisibles et en l'absence de spécifications explicites des processus de retrait ils sont rarement pris en compte dans les fins d'exploitation d'un service. Chacun de ces éléments doit porter sa propre information de fin de vie.,Fin de Vie,A quelle fréquence sont vérifiées les dates d'expiration ?,,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #MAINT; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Periodic,Dossier technique,,,Y,#PROCESS,***,Outils supervision
BACKEND,BCK-1.09,B,A,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que des données sensibles sont collectées ?
Sont-elles indispensables ?","Les données que les utilisateurs confient sont sous votre responsabilité et les utilisateurs doivent être tenus informés du soin que vous mettez en oeuvre pour assurer la confidentialité de ces données. Le RGPD impose un cadre pour les données personnelles mais ne couvre pas les autres catégories qui mériteraient les mêmes précautions. Le registre des traitements, le PIA du RGPD doivent être réalisés, mis à jour et validés par le DPO (Délégué à la Protection de Données). Les données échangées avec d'autres prestataires doivent faire l'objet d'une analyse de responsabilité. Limiter la collecte de données sensibles, au-delà du respect de l'utilisateur, réduit aussi la charge et la responsabilité d'administration de ces données personnelles",Conception,Combien de données sont identifiées comme sensibles aux sens RGPD ?,,,,,RECO,*,,,#SEC ; #USE ; #COM ; #VALUE ; #METH ; #LEG,Dev ; ProjectMngr ; ProductOwner ;,(X / Y ) * 100,Données sensibles analysées,Données sensibles,High,OnUpdate,Liasse RGPD,,,,,,
BACKEND,BCK-1.10,B,B,B,Réduire l'impact des données de leur stockage et accès,Est-ce que les données collectées sont réellement utiles ?,"Les données que les utilisateurs confient sont sous votre responsabilité et les utilisateurs doivent être tenus informés du soin que vous mettez en oeuvre pour assurer la confidentialité de leurs données. Le RGPD impose un cadre pour les données personnelles mais ne couvre pas les autres catégories qui mériteraient les mêmes précautions. L'empreinte des données du service se répercute tout au long du cycle de vie du service, la réduction du volume de données collectées est indispensable pour limiter ces impacts",Utilisation,Chaque donnée est-elle associée à un traitement ?,,,,,RECO,*,,,#VOL ; #USE ; #VALUE ; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Données analysées,Données collectées,High,OnUpdate,Navigation / CHROME : network,,,,,,
BACKEND,BCK-1.11,A,B,B,Réduire l'impact des données de leur stockage et accès,"Est-ce que l'API fournit des limites, des filtres et la liste des champs à retourner ?","Les parcours et besoins des utilisateurs sont très difficilement anticipables. Une tendance consiste à fournir au front end un maximum de données pour couvrir le maximum de cas d'utilisation. Cette pratique est inefficace d'un point de vue NR car la collecte, le traitement et l'acheminement des données génèrent une charge et donc une consommation énergétique importante sans certitude que toutes ces données seront effectivement utilisées. L'empreinte du service doit être réduite en ne collectant que les données indispensables au fur et à mesure du déroulement du service via les mécanismes API.",Réalisation,Quel volume maximum est retourné par les API ?,Est-ce que la pagination est gérée dans les appels API ?,La volumétrie des échanges API est-il borné ?,Opquast 73 74 /GreenIT 74 75,,RECO,**,,,#VOL ; #USE ; #VALUE ; #METH ;,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Données API analysées,Données API collectées,High,OnUpdate,"L'analyse des codes sources, recherche les paramétrages des appels API sans définitions de limites. Les outils de développement et la console des navigateurs permettent de tracer les flux échangés, leurs volumes et fréquences (ex: CHROME : console / network)",,,Y,#SCRIPT,**,Outils parser code
BACKEND,BCK-1.12,B,A,A,Réduire l'impact des données de leur stockage et accès,Est-ce que les données sensibles des utilisateurs sont sécurisées ?,"Le RGPD impose l'établissement d'un PIA, celui-ci doit être réellement suivi et intégré dans les processus qualité. En préalable, toutes les solutions de sécurisation des données sensibles doivent être déployées et validées.",Déploiement,Quelles procédures de sécurisation sont associées aux données sensibles ?,,,,,RECO,**,,,#SEC ; #USE ; #COM ; #VALUE ; #METH ; #LEG,Dev ; ProjectMngr ; ITMngr ;,(X / Y ) * 100,Données sensibles analysées,Données sensibles,High,OnUpdate,Analyse de risques,,,,,,
BACKEND,BCK-1.C08,C,B,B,Réduire l'impact des données de leur stockage et accès,"Les données réglementées (personnelles, santé, financières) sont-elles conformes aux recommandations de structuration de ces catégories de données ?","Le cadre réglementaire de certaines catégories de données est très strict, le respect de ces données pour protéger les utilisateurs est un critère important. Il est indispensable que dans le processus de développement aucune brèche ne soit possible et que toutes les interopérabilités avec les mécanismes standards de ces domaines soient validées.",Déploiement,Combien de données réglementées sont utilisées ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
BACKEND,BCK-2,,,,"Utiliser les composants techniques qui améliorent les aspects NR, sécurité et performance",,,,,,,,,,,ODD#9 ; ODD#12 ; ODD#13,,,,,,,,,,,,,,,
